category,name,sub,weight,price,rel,range,effect,notes
common,Arrash,Primitive,Tiny,25,,,Stimulant. Smoked or ingested. -1 to all skill checks while affected,
common,Cell,Ordinary,¼,50,,,Can be refilled. GM can deplete for 1 DP,
common,Clothing,Varies,–,50–1000,,,"Djellabas, gallabeyas, caftans, dhotis, kurtas, kameezes, casulas, coats, caps, uniforms, veils, etc",
common,Communicator Personal (I),Ordinary,¼,200,,,10 kilometer range. Can be worn or added into clothing for 2x cost,
common,Communicator Short range (II),Ordinary,½,500,,,50 kilometer range. Handheld,
common,Communicator Long range (III),Ordinary,1,1000,,,100 kilometer range. Handheld,
common,Communicator Orbit (IV),Ordinary,2,2000,,,Reaches planetary orbit. Must be carried in harness. Requires cells,
common,Communicator System (V),Ordinary,3,5000,,,Reaches anywhere in system. Requires multiple cells.,
common,Communicator Pulse function,Ordinary,¼,1000,,,Add-on. Encrypts in short bursts (-2 TECHNOLOGY to detect),
common,Computer,Varies,¼–1,10k/15k/20k,,,(-3/0/+1) Assist with simple tasks or needs.,
common,Holograph,Advanced,¼–3,1500–7300,,,Send and receive holographic messages. Also send 3D maps/images,
common,Kambra,Ordinary,Tiny,250,,,A drug inducing euphoria. Gives +1 PERSUASION and 2 stress,
common,Language unit,Advanced,¼,10000,,,Can translate up to three languages. Requires tags with software,
common,Library Database,Advanced,¼,1500 or 2000,,,(+1/+3) Subject-specific data giving bonus on SCIENCE or CULTURE,
common,Modulator,Advanced,1,12000,,,Able to transmit and create exact copies of an object (non-functional),
common,Musical Instrument,Primitive,½–3,100–1000,,,Gives +1 PERSUASION if used for entertainment,
common,Opor,Primitive,Tiny,50,,,Synthetic Arrash. Stronger and more addictive. -2 to all rolls,
common,Proxy helmet,Ordinary,½,500,,,Used for Proxy Trips,
common,Proxy trip,Ordinary,Tiny,100,,,Experience of someone else. -2 OBSERVATION while in the trip,
common,Tabak,Primitive,Tiny,25,,,"Mild, sweet stimulant. Can be smoked or put in tea.",
common,Tabula,Ordinary,¼,2000,,,Everyday item used to find information,
common,Tag,Ordinary,Tiny,50,,,Crystalline stick used to hold information or birr. Each is unique,
common,Talisman,Primitive,Tiny,50,,,"Picture or symbol of an Icon. If blessed, grants +1 modifier to one roll",
common,Transactor,Ordinary,Tiny,100,,,Personal ID used for transactions,
common,Voice Amplifier,Ordinary,¼,400,,,Used to carry voice up to 100 meters,
combat_gear,Advanced Scope,Advanced,½,5000,,,+1 RANGED COMBAT at short range+ if Fast aiming or +2 for Slow aiming. Also functions as Binoculars and Night Sights.,
combat_gear,Command Unit,Ordinary,½,2300,,,Allows user to issue COMMAND skill at a distance,
combat_gear,Fusion Battery,Ordinary,2,3000,,,Connects to machines and thermal weapons. Counts as 3 reloads,
combat_gear,Head Mounted Sight,Ordinary,½,250,,,Provides remote vision and control of a Sentry Gun,
combat_gear,IFF Transponder,Ordinary,Tiny,250,,,Prevents Sentry Gun friendly fire,
combat_gear,Muzzle Suppressor,Ordinary,¼,50–200,,,Gives the attached weapon the Silent feature,
combat_gear,Night Sights,Ordinary,Tiny,1000,,,Removes penalty for dim light and -1 to RANGED COMBAT in darkness,
combat_gear,Optical Scope,Ordinary,½,1000,,,+1 RANGED COMBAT at medium range+ if Fast aiming or +2 for Slow aiming. Also functions as Binoculars.,
combat_gear,"Reload, Primitive",Primitive,¼,5,,,Single shot ammo is considered one reload per use,
combat_gear,"Reload, Ordinary",Ordinary,¼,50,,,Full magazine weight (including cell if required) is added to weapon,
combat_gear,"Reload, Vibro",Ordinary,¼,200,,,Makes weapon have Silent feature. +1 to RANGED COMBAT but all targets considered to have +1 Armor Rating,
combat_gear,"Reload, Advanced",Advanced,¼,50,,,Cell-based ammunition. Can be recharged at charging stations,
combat_gear,Sensor Scope,Ordinary,¼,2000,,,+1 RANGED COMBAT at short range+ if Fast or Slow aiming. Also counts as Night Sights.,
combat_gear,Signal Jammer,Ordinary,½,1500,,,Jams coms to Extreme Range. Requires TECHNOLOGY test to get around jamming. Powered by fusion battery,
medical,Ballistic M-injector,Ordinary,½,1000,,,(+1) Fired from Vulcan weapon at short range. Effect as M-dose.,
medical,Bio Monitor,Ordinary,½,5000,,,"Includes level II comm, assist with MEDICURGY from afar",
medical,Doctor’s Bag,Primitive,2,300,,,Supplies to treat 10 conditions. No bonuses due to primitive tech,
medical,Herbal Remedy,Primitive,½,50,,,Used with Doctor’s Bag. Gives -1 MEDICURGY if used alone. 10 doses,
medical,IFAK,,¼,100,,,Individual first aid kit. Applies +1 to MEDICURGY. Single use.,
medical,Medkit,Ordinary,1,700,,,(+2) Contains modern emergency medical equipment and 10 M-doses,
medical,M-dose,Ordinary,¼,50,,,Injector for treating wounds. Gives +1 MEDICURGY on its own,
medical,Medlab,Ordinary,–,5000,,,(+3) 100 uses then needs resupply. Can take one supply as M-dose.,
medical,Mind-Enhancing Narcotics,Ordinary,Tiny,200,,,(+1/-1) Raise attribute by 1 for d6 hours. After suffer 2 stress or damage and -1 to stat for 12 hours,
medical,P-dose,Faction,¼,1000,,,(+2/+3) Only gained from Order of the Pariah. Same as M-dose but +2 base and +3 for critical injuries,
medical,Pain Reliever,Ordinary,¼,200,,,Recover 1 point of damage if not already broken once per shift. 10 doses,
medical,Poison,Primitive,Varies,300–3000,,,Follow poison rules. STRENGTH is 1-8,
medical,Radiation Injector,Ordinary,¼,250,,,Injectable radiation treatment that gives +1 to STAMINA to resist radiation (temporary or permanent). Lasts for 1 Shift. Single use,
medical,Spider Doctor,Advanced,2,5000,,,Full action to deploy. Treats a single patient at a time. Equivalent of Trauma Kit (10 uses). Has WITS A MEDICURGY C,
