category,name,type,source,effect
general,Agent,General,Mercy of the Icons (TLC),"You work for an intelligence agency or a secret organization of your choice as a field agent or as an informant. You can access restricted information, request backup or borrow faction tech once per session. All contact with your organization is via secret dead drops, shady cantinas or anonymous kawah stands. Getting a reply might therefore take up to 24 hours. The GM decides if your request for help will be granted or not."
general,Agitator,General,Mercy of the Icons (TLC),"You are very skilled in riling up or engaging with the masses. Regardless of your Reputation, they look up to you and whenever you speak before a crowd, you get the following bonuses to COMMAND or PERSUASION:
5-25 people = +1, 25–50 people = +2, 50+ people = +3."
general,Atmospheric Pilot,General,Twilight 2000,Gives a +1 modifier to PILOT rolls when flying a vehicle in atmosphere (including a starship).
general,Authority,General,Alien RPG,By invoking your authority you can use your COMMAND skill instead of PERSUASION to get someone to bend to your will. This is situational and is up to the GM.
general,Banter,General,Alien RPG,"Between fights, you release the tension in your team with some friendly banter. You and everyone in SHORT range of you, recover a Stress Point after a stretch if you are in a safe location. This can only occur after a conflict and only once per conflict. Multiple people with the talent does not stack."
general,Biochemist,General,Mercy of the Icons (TLC),"You can concentrate natural toxins, manufacture synthetic opioids or weaponize infections and viruses. Test science for each dose created. Lab access grants a +1 and increases the strength cap by 1. Each extra success rolled either increases the strength of the toxin by 1 (unless already at max strength cap) or gives you D6 extra doses. Common opioids like kambra, opor and arrash immediately give D6 doses at a successful roll. The resources needed will usually cost about 10% of the finished product’s market price and requires a suitable lab with the time to make them."
general,Blessing,General,Coriolis RPG,"Once per session, you can bless another person by testing EMPATHY (may be pushed). Each six on the roll gives the target of the blessing a +1 to a roll at a later time. Unspent blessed sixes disappear after 24 hours. The receiver of the blessing must be within Close range of you. In combat, imparting the blessing is a slow action. Instead, you can also create and bless a talisman for that day. The process takes D6 hours and requires a chapel or an altar. A talisman provides a +1 to a skill test, then the blessing wears off. Only one talisman is allowed per character to be active at one time."
general,Bodyguard,General,Alien RPG,"If someone within CLOSE range of you is hit by an attack, you can dive in to take the hit. Roll for MOBILITY. It doesn’t count as an action in combat. If you roll one or more successes you take the hit instead. This roll can be pushed."
general,Born Leader,General,Alien RPG,"You exude authority, from your personality, your position, your place on the command team or because the force of law is behind you. If you fail a COMMAND roll you can immediately, as a free action, attempt a PERSUASION roll to try and salvage the situation."
general,Brawler,General,Twilight 2000,Gives you a +1 modifier to MELEE COMBAT rolls in unarmed melee combat. Your unarmed MELEE COMBAT attacks have a CRIT threshold of 3 instead of 4.
general,Bypass,General,Alien RPG,You have experience jury-rigging tool- kits and using diagnostic devices to hack doors. You gain a +1 modification to the TECHNOLOGY skill when attempting to unlock a locked entryway or gain access to a location you cannot enter.
general,Calming Presence,General,Alien RPG,"People find themselves relaxing whenever you are around. Once per day if someone spends a shift taking a Rest in your presence, they recover 1 additional Stress Point."
general,Close Combat Specialist,General,Twilight 2000,"Gives a +1 modifier to RANGED COMBAT rolls for firing pistols, submachine guns and shotguns. Also gives a +1 modifier to RANGED COMBAT rolls made to reload these firearms (page 65)."
general,Combat Medic,General,Twilight 2000,Gives a +1 modifier to MEDICAL AID rolls for helping a character incapacitated by physical damage get back up (page 73) or for treating infection and disease in the field.
general,Combat Veteran,General,Coriolis RPG,"You draw two cards for initiative, and choose the best one. If you also have Accelerated Reflexes, you get to an additional card and choose the best one."
general,Compassion,General,Alien RPG,"This isn’t just a job for you. You truly care about the people under your care. When you push any skill roll based on EMPATHY, you can roll with a +1 modifier."
general,Cunning,General,Alien RPG,"If your training has taught you anything, it’s to always be on the lookout for anything that can give you an edge. When you push any skill roll based on WITS, you can roll with a +1 modifier."
general,Dodge,General,Alien RPG,"When attacked in melee combat, you can dodge as a free action once per turn. This works like Defending in Melee combat but you roll using MOBILITY instead of MELEE COMBAT and you can only use it to reduce damage (not counterattack or disarm)."
general,Exo Specialist,General,Coriolis RPG,You get a +1 to MOBILITY and FORCE when using an exo of any kind – from loaders to battle exos.
general,Faction Honors (GM awarded),General,Mercy of the Icons (TLC),"You have strong connections with a faction and are either considered to be an honorary member or as very trustworthy by both the rank-and-file and the leadership. You get a +1 to any rolls when dealing with people who are either allies of, or fear, the faction because of your reputation among them. This can be taken or earned from multiple factions but must be purchased as a separate talent for each."
general,Faction Standing (GM Awarded),General,Coriolis RPG,"You belong to a faction or a gang and can use its reputation to get a +1 to PERSUASION when trying to scare or threaten someone – given that the person you are threatening knows of the faction, and that the faction has some influence in the location where you are."
general,Field Commander,General,Alien RPG,You can use COMMAND to give orders in combat as a fast action instead of a slow action. You can choose to save additional fast actions to issue a new command as a reaction at a later point in the round or issue two or more commands in a single turn. Each COMMAND requires a separate roll and has a separate modifier.
general,Flyweight,General,Alien RPG,"When you attack or defend in melee combat, you can use AGILITY instead of STRENGTH."
