category,name,type,ammo,rel,rof,damage,crit,blast,range,mag,armor,weight,price,slots,notes
pistols,Vulcan Cricket,Pistol,VUL,5,2,1,3,–,2/8,8,+2,½,,1,"Light, Reliable, Range modifiers doubled"
pistols,Vulcan Pistol,Pistol,VUL,5,2,1,2,–,2/8,17,+1,½,,2,"Reliable, Range modifiers doubled"
pistols,Vulcan Pistol (Arax Omir),Pistol,VUL,5,2,1,2,–,2/8,15,+1,½,,2,"Reliable, Range modifiers doubled, +1 PERSUASION when threatening"
pistols,Accelerator Pistol,Pistol,ACC,5,1,2,3,–,3/12,7,0,½,,2,"Armor-piercing, Silent"
pistols,Thermal Cricket,Pistol,CELL,5,2,1,2,–,2/8,5,0,½,,1,"Cell-powered, Fire 4"
pistols,Thermal Pistol,Pistol,CELL,5,2,2,3,–,3/12,7,–1,1,,1,"Cell-powered, Fire 4"
smgs,Vulcan Wasp,SMG,VUL,5,4,1,2,–,3/12,25,+1,1,,1,"Reliable, Range modifiers doubled"
smgs,Vulcan Scorpion,SMG,VUL,5,4,1,3,–,3/12,34,+2,1,,2,"Reliable, Range modifiers doubled, -1 Ranged Combat using AMMO dice"
smgs,Vulcan PDW,SMG,VUL,5,5,1,3,–,3/12,64,+1,1,,2,"Reliable, Range modifiers doubled"
smgs,Accelerator PDW,SMG,ACC,5,6,1,3,–,2/8,20,0,½,,,
smgs,Accelerator SMG,SMG,ACC,5,4,1,2,–,4/16,32,0,1,,,
carbines,Vulcan Carbine,Carbine,VUL,5,4,2,3,–,4/16,30,0,1,,1,Reliable
carbines,Vulcan Carbine v2,Carbine,VUL,5,6,2,3,–,4/16,30,0,1,,2,Reliable
carbines,Legionnaire carbine Dayal-3,Carbine,VUL,5,6,2,3,–,5/20,45,0,2,,2,"Reliable, Built-in grenade launcher"
assault_rifles,Vulcan Assault Rifle,Assault rifle,VUL,5,6,2,3,–,5/20,25,0,1,,2,Reliable
assault_rifles,Accelerator Assault Rifle (Civilian),Assault rifle,ACC,5,2,2,3,–,6/24,20,–1,1,,1,"Armor-piercing, Silent"
assault_rifles,Accelerator Assault Rifle (Military),Assault rifle,ACC,5,3,2,3,–,6/24,30,–1,1,,2,"Armor-piercing, Silent"
assault_rifles,Twin Carbine Rifle,Assault rifle,ACC,5,3,3,4,–,6/24,30,–1,1,,2,"Armor-piercing, Silent, Unreliable"
assault_rifles,Thermal Carbine,Assault rifle,CEL,5,4,3,4,–,8/32,20,–1,3,,1,Requires a backpack to shoot (included in weight)
grape,Sawed-off Grape Rifle,Shotgun,VUL,5,2,3,4,–,2/8,2,+1,1,,2,"Shotgun, Single-shot (Roll all ammo dice on the roll)"
grape,Grape Rifle,Shotgun,VUL,5,1,3,4,–,2/8,5,+1,1,,2,Shotgun
grape,Grape Carbine,Shotgun,VUL,5,2,3,4,–,2/8,5,+1,1,,2,Shotgun
marksman,Long Rifle,Marksman rifle,PRIM,5,1,3,4,–,10/40,5,0,1,,2,
marksman,Lever-action Rifle,Marksman rifle,PRIM,5,1,3,4,–,5/20,8,0,1,,2,
marksman,Accelerator Rifle (civilian),Marksman rifle,ACC,5,1,3,4,–,12/48,20,0,2,,2,
marksman,Accelerator Rifle (military),Marksman rifle,ACC,5,2,3,3,–,10/40,20,–1,1,,2,"Armor-Piercing, Silent"
marksman,Accelerator DMR,Marksman rifle,ACC,5,2,3,3,–,12/48,10,–1,2,,2,"Silent, Optical Scope"
marksman,Accelerator Rifle Nestera Parox,Marksman rifle,ACC,5,1,4,3,–,20/80,10,–1,5,,2,"Armor-piercing, Anti-Vehicle, Bulky, Slow, Silent"
marksman,Thermal Rifle,Marksman rifle,CELL,5,1,3,3,–,10/40,5,–1,4,,1,"Fire 3, Fusion Battery"
heavy,Vulcan Machine Gun,Machine gun,VUL,5,6,2,3,–,5/20,200,0,2,,2,
